	sideefects
12075	, gastroenteritis bacillus, Gastroenteritis bacillus
12076	, stenotrophomonas infection, Stenotrophomonas infection
12077	, hiv infection, HIV infection
12078	, tracheostomy infection, Tracheostomy infection
12079	, clostridial infection, Clostridial infection
12080	, puerperal infection, Puerperal infection
12081	, burn infection, Burn infection
12082	, idiopathic pulmonary fibrosis, Idiopathic pulmonary fibrosis
12083	, diabetic gastroparesis, Diabetic gastroparesis
12084	, diabetic gangrene, Diabetic gangrene
12085	, dysstasia, Dysstasia
12086	, posturing, Posturing
12087	, oophorectomy bilateral, Oophorectomy bilateral
12088	, hydronephrosis, Hydronephrosis
12089	, hydroureter, Hydroureter
12090	, head circumference abnormal, Head circumference abnormal
12091	, tongue biting, Tongue biting
12092	, head and neck cancer, Head and neck cancer
12093	, appendix cancer, Appendix cancer
12094	, breast engorgement, Breast engorgement
12095	, urethral spasm, Urethral spasm
12096	, hunger, Hunger
12097	, jaundice cholestatic, Jaundice cholestatic
12098	, jaundice, Jaundice
12099	, hepatomegaly, Hepatomegaly
12100	, induration, Induration
12101	, monocytopenia, Monocytopenia
12102	, lymphopenia, Lymphopenia
12103	, granulocytopenia, Granulocytopenia
12104	, neutropenia, Neutropenia
12105	, thrombocytopenia, Thrombocytopenia
12106	, microcytosis, Microcytosis
12107	, leukoerythroblastosis, Leukoerythroblastosis
12108	, eosinopenia, Eosinopenia
12109	, chromaturia, Chromaturia
12110	, cinchonism, Cinchonism
12111	, septic rash, Septic rash
12112	, viral rash, Viral rash
12113	, pseudohyperkalaemia, Pseudohyperkalaemia
12114	, autoimmune encephalopathy, Autoimmune encephalopathy
12115	, autoimmune colitis, Autoimmune colitis
12116	, pneumonitis, Pneumonitis
12117	, agranulocytosis, Agranulocytosis
12118	, hypoaldosteronism, Hypoaldosteronism
12119	, hyperphosphaturia, Hyperphosphaturia
12120	, hypocitraturia, Hypocitraturia
12121	, hyperphosphataemia, Hyperphosphataemia
12122	, hypouricaemia, Hypouricaemia
12123	, crystalluria, Crystalluria
12124	, appendicitis, Appendicitis
12125	, diverticulitis, Diverticulitis
12126	, diverticulitis oesophageal, Diverticulitis oesophageal
12127	, hyperferritinaemia, Hyperferritinaemia
12128	, hypocholesterolaemia, Hypocholesterolaemia
12129	, erythropenia, Erythropenia
12130	, haemoglobinaemia, Haemoglobinaemia
12131	, hypocomplementaemia, Hypocomplementaemia
12132	, paraproteinaemia, Paraproteinaemia
12133	, hyperamylasaemia, Hyperamylasaemia
12134	, bilirubinuria, Bilirubinuria
12135	, hyperproteinaemia, Hyperproteinaemia
12136	, anaemia, Anaemia
12137	, hypofibrinogenaemia, Hypofibrinogenaemia
12138	, hypercoagulation, Hypercoagulation
12139	, hypoprothrombinaemia, Hypoprothrombinaemia
12140	, hyperbilirubinaemia, Hyperbilirubinaemia
12141	, neurosarcoidosis, Neurosarcoidosis
12142	, neurosyphilis, Neurosyphilis
12143	, juvenile idiopathic arthritis, Juvenile idiopathic arthritis
12144	, septic necrosis, Septic necrosis
12145	, lip blister, Lip blister
12146	, lip dry, Lip dry
12147	, coating in mouth, Coating in mouth
12148	, hypoaesthesia oral, Hypoaesthesia oral
12149	, pregnancy with contraceptive device, Pregnancy with contraceptive device
12150	, dialysis, Dialysis
12151	, oesophageal mucosa erythema, Oesophageal mucosa erythema
12152	, blood blister, Blood blister
12153	, numb chin syndrome, Numb chin syndrome
12154	, restless legs syndrome, Restless legs syndrome
12155	, dropped head syndrome, Dropped head syndrome
12156	, tarsal tunnel syndrome, Tarsal tunnel syndrome
12157	, cubital tunnel syndrome, Cubital tunnel syndrome
12158	, medial tibial stress syndrome, Medial tibial stress syndrome
12159	, visual snow syndrome, Visual snow syndrome
12160	, allergic colitis, Allergic colitis
12161	, t-cell prolymphocytic leukaemia, T-cell prolymphocytic leukaemia
12162	, t-cell chronic lymphocytic leukaemia, T-cell chronic lymphocytic leukaemia
12163	, chronic lymphocytic leukaemia transformation, Chronic lymphocytic leukaemia transformation
12164	, chronic myeloid leukaemia transformation, Chronic myeloid leukaemia transformation
12165	, leukaemia, Leukaemia
12166	, pulmonary sequestration, Pulmonary sequestration
12167	, pulmonary resection, Pulmonary resection
12168	, pulmonary mass, Pulmonary mass
12169	, granuloma inguinale, Granuloma inguinale
12170	, granuloma, Granuloma
12171	, hypercreatininaemia, Hypercreatininaemia
12172	, haematospermia, Haematospermia
12173	, pyonephrosis, Pyonephrosis
12174	, nitrituria, Nitrituria
12175	, nephropathy, Nephropathy
12176	, hyperuricaemia, Hyperuricaemia
12177	, nephrosclerosis, Nephrosclerosis
12178	, gout, Gout
12179	, nephropathy toxic, Nephropathy toxic
12180	, crystal nephropathy, Crystal nephropathy
12181	, igm nephropathy, IgM nephropathy
12182	, reflux nephropathy, Reflux nephropathy
12183	, bradypnoea, Bradypnoea
12184	, pylorospasm, Pylorospasm
12185	, hyperchlorhydria, Hyperchlorhydria
12186	, enuresis, Enuresis
12187	, dyspepsia, Dyspepsia
12188	, cholestasis, Cholestasis
12189	, oesophagitis, Oesophagitis
12190	, duodenitis, Duodenitis
12191	, reflux gastritis, Reflux gastritis
12192	, reflux laryngitis, Reflux laryngitis
12193	, high-pitched crying, High-pitched crying
12194	, moaning, Moaning
12195	, screaming, Screaming
12196	, auscultation, Auscultation
12197	, vitamin supplementation, Vitamin supplementation
12198	, vitamin d abnormal, Vitamin D abnormal
12199	, vitamin a, vitamin d
12200	, malabsorption, Malabsorption
12201	, cardiomegaly, Cardiomegaly
12202	, echocardiogram, Echocardiogram
12203	, bronchomalacia, Bronchomalacia
12204	, diarrhoea neonatal, Diarrhoea neonatal
12205	, mutism, Mutism
12206	, deaf mutism, Deaf mutism
12207	, hypogammaglobulinaemia, Hypogammaglobulinaemia
12208	, cystogram abnormal, Cystogram abnormal
12209	, haemodynamic test abnormal, Haemodynamic test abnormal
12210	, hypophagia, Hypophagia
12211	, hyperphagia, Hyperphagia
12212	, dysphemia, Dysphemia
12213	, faecalith, Faecalith
12214	, pseudopolyp, Pseudopolyp
12215	, cryptitis, Cryptitis
12216	, haemorrhage in pregnancy, Haemorrhage in pregnancy
12217	, foetal anticonvulsant syndrome, Foetal anticonvulsant syndrome
12218	, foetal alcohol syndrome, Foetal alcohol syndrome
12219	, anticholinergic syndrome, Anticholinergic syndrome
12220	, syncope, Syncope
12221	, migraine without aura, Migraine without aura
12222	, embolism, Embolism
12223	, spontaneous amputation, Spontaneous amputation
12224	, arm amputation, Arm amputation
12225	, myalgia intercostal, Myalgia intercostal
12226	, gastric hypermotility, Gastric hypermotility
12227	, gastrointestinal erosion, Gastrointestinal erosion
12228	, gastrointestinal stoma necrosis, Gastrointestinal stoma necrosis
12229	, gastrointestinal mucosa hyperaemia, Gastrointestinal mucosa hyperaemia
12230	, magical thinking, Magical thinking
12231	, flight of ideas, Flight of ideas
12232	, histology abnormal, Histology abnormal
12233	, cytology abnormal, Cytology abnormal
12234	, laparoscopy abnormal, Laparoscopy abnormal
12235	, bronchoscopy abnormal, Bronchoscopy abnormal
12236	, electroencephalogram abnormal, Electroencephalogram abnormal
12237	, arthroscopy abnormal, Arthroscopy abnormal
12238	, colposcopy abnormal, Colposcopy abnormal
12239	, amniocentesis abnormal, Amniocentesis abnormal
12240	, obesity, Obesity
12241	, overweight, Overweight
12242	, underweight, Underweight
12243	, hypercholesterolaemia, Hypercholesterolaemia
12244	, intestinal anastomosis, Intestinal anastomosis
12245	, intestinal resection, Intestinal resection
12246	, intestinal operation, Intestinal operation
12247	, intestinal dilatation, Intestinal dilatation
12248	, intestinal prolapse, Intestinal prolapse
12249	, intestinal metastasis, Intestinal metastasis
12250	, thoracic operation, Thoracic operation
12251	, neck mass, Neck mass
12252	, scrotal mass, Scrotal mass
12253	, axillary mass, Axillary mass
12254	, mediastinal mass, Mediastinal mass
12255	, retroperitoneal mass, Retroperitoneal mass
12256	, mandibular mass, Mandibular mass
12257	, oesophageal mass, Oesophageal mass
12258	, stomach mass, Stomach mass
12259	, intestinal mass, Intestinal mass
12260	, pancreatic mass, Pancreatic mass
12261	, breast mass, Breast mass
12262	, intracardiac mass, Intracardiac mass
12263	, prostatic mass, Prostatic mass
12264	, intracranial mass, Intracranial mass
12265	, painful respiration, Painful respiration
12266	, respiration abnormal, Respiration abnormal
12267	, lipids abnormal, Lipids abnormal
12268	, haptoglobin abnormal, Haptoglobin abnormal
12269	, gamma-glutamyltransferase abnormal, Gamma-glutamyltransferase abnormal
12270	, premature ovulation, Premature ovulation
12271	, gastrointestinal endoscopic therapy, Gastrointestinal endoscopic therapy
12272	, ejaculation failure, Ejaculation failure
12273	, organic erectile dysfunction, Organic erectile dysfunction
12274	, gastric hypertonia, Gastric hypertonia
12275	, hypovolaemia, Hypovolaemia
12276	, hypervolaemia, Hypervolaemia
12277	, haemoconcentration, Haemoconcentration
12278	, haemodilution, Haemodilution
12279	, undersensing, Undersensing
12280	, withdrawal hypertension, Withdrawal hypertension
12281	, labile hypertension, Labile hypertension
12282	, procedural hypertension, Procedural hypertension
12283	, withdrawal arrhythmia, Withdrawal arrhythmia
12284	, diabetes insipidus, Diabetes insipidus
12285	, procedural complication, Procedural complication
12286	, fasciitis, Fasciitis
12287	, bacterascites, Bacterascites
12288	, tongue fungal infection, Tongue fungal infection
12289	, inappropriate affect, Inappropriate affect
12290	, multimorbidity, Multimorbidity
12291	, elderly, Elderly
12292	, housebound, Housebound
12293	, bedridden, Bedridden
12294	, sarcopenia, Sarcopenia
12295	, cachexia, Cachexia
12296	, unemployment, Unemployment
12297	, onychophagia, Onychophagia
12298	, hyperlipasaemia, Hyperlipasaemia
12299	, phlebosclerosis, Phlebosclerosis
12300	, plasmacytosis, Plasmacytosis
12301	, faecaloma, Faecaloma
12302	, gastroenterostomy, Gastroenterostomy
12303	, urostomy, Urostomy
12304	, fulguration, Fulguration
12305	, adhesiolysis, Adhesiolysis
12306	, myomectomy, Myomectomy
12307	, salpingectomy, Salpingectomy
12308	, coccygectomy, Coccygectomy
12309	, prostatectomy, Prostatectomy
12310	, adrenalectomy, Adrenalectomy
12311	, orchidectomy, Orchidectomy
12312	, thoracotomy, Thoracotomy
12313	, pneumonectomy, Pneumonectomy
12314	, bronchoplasty, Bronchoplasty
12315	, angiodysplasia, Angiodysplasia
12316	, ileectomy, Ileectomy
12317	, jejunectomy, Jejunectomy
12318	, cardiospasm, Cardiospasm
12319	, Myeloid metaplasia, myeloid metaplasia,metaplasia myeloid, myeloid metaplasia
12320	, nephrostomy, Nephrostomy
12321	, sternitis, Sternitis
12322	, lymphorrhoea, Lymphorrhoea
12323	, anorgasmia, Anorgasmia
12324	, onychomadesis, Onychomadesis
12325	, herpangina, Herpangina
12326	, plantar fasciitis, Plantar fasciitis
12327	, chronic actinic dermatitis, Chronic actinic dermatitis
12328	, dermatitis infected, Dermatitis infected
12329	, multiple-drug resistance, Multiple-drug resistance
12330	, retracted nipple, Retracted nipple
12331	, hydrocele operation, Hydrocele operation
12332	, vulval operation, Vulval operation
12333	, transplantation complication, Transplantation complication
12334	, graft complication, Graft complication
12335	, nipple infection, Nipple infection
12336	, pharyngeal lesion, Pharyngeal lesion
12337	, genitourinary operation, Genitourinary operation
12338	, prostatic operation, Prostatic operation
12339	, mastoid operation, Mastoid operation
12340	, gastrointestinal dilation procedure, Gastrointestinal dilation procedure
12341	, gingival operation, Gingival operation
12342	, nail operation, Nail operation
12343	, maxillofacial operation, Maxillofacial operation
12344	, calculus urethral, Calculus urethral
12345	, oncologic complication, Oncologic complication
12346	, procedural intestinal perforation, Procedural intestinal perforation
12347	, urinary retention postoperative, Urinary retention postoperative
12348	, urinary retention, Urinary retention
12349	, urinary hesitation, Urinary hesitation
12350	, computerised tomogram abnormal, Computerised tomogram abnormal
12351	, computerised tomogram head abnormal, Computerised tomogram head abnormal
12352	, coordination abnormal, Coordination abnormal
12353	, androgens abnormal, Androgens abnormal
12354	, sputum abnormal, Sputum abnormal
12355	, spermatogenesis abnormal, Spermatogenesis abnormal
12356	, thermometry abnormal, Thermometry abnormal
12357	, histamine abnormal, Histamine abnormal
12358	, lumbar puncture abnormal, Lumbar puncture abnormal
12359	, cerebral fungal infection, Cerebral fungal infection
12360	, sexual transmission of infection, Sexual transmission of infection
12361	, bifidobacterium infection, Bifidobacterium infection
12362	, clostridium difficile infection, Clostridium difficile infection
12363	, orbital infection, Orbital infection
12364	, vulvovaginal mycotic infection, Vulvovaginal mycotic infection
12365	, pneumonia respiratory syncytial viral, Pneumonia respiratory syncytial viral
12366	, burn dressing, Burn dressing
12367	, secondary transmission, Secondary transmission
12368	, localised infection, Localised infection
12369	, hiv viraemia, HIV viraemia
12370	, viraemia, Viraemia
12371	, mycobacterium test positive, Mycobacterium test positive
12372	, respirovirus test positive, Respirovirus test positive
12373	, mycoplasma test positive, Mycoplasma test positive
12374	, peptostreptococcus test positive, Peptostreptococcus test positive
12375	, aeromonas test positive, Aeromonas test positive
12376	, pseudomonas test positive, Pseudomonas test positive
12377	, bacteroides test positive, Bacteroides test positive
12378	, enterococcus test positive, Enterococcus test positive
12379	, corynebacterium test positive, Corynebacterium test positive
12380	, propionibacterium test positive, Propionibacterium test positive
12381	, ureaplasma test positive, Ureaplasma test positive
12382	, candida test positive, Candida test positive
12383	, haemophilus test positive, Haemophilus test positive
12384	, vibrio test positive, Vibrio test positive
12385	, stenotrophomonas test positive, Stenotrophomonas test positive
12386	, treponema test positive, Treponema test positive
12387	, bacillus test positive, Bacillus test positive
12388	, arthritis fungal, Arthritis fungal
12389	, vertical infection transmission, Vertical infection transmission
12390	, human bocavirus infection, Human bocavirus infection
12391	, kidney malformation, Kidney malformation
12392	, kidney perforation, Kidney perforation
12393	, focal nodular hyperplasia, Focal nodular hyperplasia
12394	, therapeutic aspiration, Therapeutic aspiration
12395	, aspiration, Aspiration
12396	, septal panniculitis, Septal panniculitis
12397	, hypertrophy, Hypertrophy
12398	, venous pressure jugular, Venous pressure jugular
12399	, blood pressure management, Blood pressure management
12400	, throat cancer, Throat cancer
12401	, gingival cancer, Gingival cancer
12402	, clitoral engorgement, Clitoral engorgement
12403	, venous ligation, Venous ligation
12404	, venous intravasation, Venous intravasation
12405	, venous operation, Venous operation
12406	, microembolism, Microembolism
12407	, portal venous gas, Portal venous gas
12408	, vessel perforation, Vessel perforation
12409	, venous valve ruptured, Venous valve ruptured
12410	, Pulse abnormal, abnormal pulse, pulse abnormal
12411	, blood calcitonin abnormal, Blood calcitonin abnormal
12412	, blood prolactin abnormal, Blood prolactin abnormal
12413	, blood testosterone abnormal, Blood testosterone abnormal
12414	, blood arsenic increased, Blood arsenic increased
12415	, full blood count abnormal, Full blood count abnormal
12416	, full blood count normal, Full blood count normal
12417	, blood bilirubin, Blood bilirubin
12418	, bicarbonate blood,blood bicarbonate, blood bicarbonate
12419	, blood test, Blood test
12420	, amylase abnormal, Amylase abnormal
12421	, blood testosterone, Blood testosterone
12422	, dry mouth, Dry mouth
12423	, intranasal hypoaesthesia, Intranasal hypoaesthesia
12424	, proctalgia, Proctalgia
12425	, flushing, Flushing
12426	, dehydration, Dehydration
12427	, clonus, Clonus
12428	, Jaundice hepatocellular, hepatocellular jaundice, jaundice hepatocellular
12429	, bezoar, Bezoar
12430	, elephantiasis, Elephantiasis
12431	, poikilocytosis, Poikilocytosis
12432	, anisocytosis, Anisocytosis
12433	, heparin-induced thrombocytopenia, Heparin-induced thrombocytopenia
12434	, polydipsia, Polydipsia
12435	, merycism, Merycism
12436	, emphysematous cystitis, Emphysematous cystitis
12437	, myelitis transverse, Myelitis transverse
12438	, neurodermatitis, Neurodermatitis
12439	, cholangitis, Cholangitis
12440	, cystitis noninfective, Cystitis noninfective
12441	, ureterocele, Ureterocele
12442	, barotrauma, Barotrauma
12443	, prostatomegaly, Prostatomegaly
12444	, pyelocaliectasis, Pyelocaliectasis
12445	, stenosis, Stenosis
12446	, sialadenosis, Sialadenosis
12447	, sprue-like enteropathy, Sprue-like enteropathy
12448	, telangiectasia, Telangiectasia
12449	, thalassaemia, Thalassaemia
12450	, aortitis, Aortitis
12451	, arteritis, Arteritis
12452	, thromboangiitis obliterans, Thromboangiitis obliterans
12453	, ludwig angina, Ludwig angina
12454	, sapho syndrome, SAPHO syndrome
12455	, cytarabine syndrome, Cytarabine syndrome
12456	, rabbit syndrome, Rabbit syndrome
12457	, evans syndrome, Evans syndrome
12458	, asphyxia, Asphyxia
12459	, pregnancy, Pregnancy
12460	, pregnancy of partner, Pregnancy of partner
12461	, gammopathy, Gammopathy
12462	, cryoglobulinaemia, Cryoglobulinaemia
12463	, schistosomiasis, Schistosomiasis
12464	, pachymeningitis, Pachymeningitis
12465	, rubella, Rubella
12466	, mumps, Mumps
12467	, rheumatoid neutrophilic dermatosis, Rheumatoid neutrophilic dermatosis
12468	, carditis, Carditis
12469	, staphylococcus test, Staphylococcus test
12470	, atypical pneumonia, Atypical pneumonia
12471	, seroma, Seroma
12472	, engraft failure, Engraft failure
12473	, infective chondritis, Infective chondritis
12474	, carbuncle, Carbuncle
12475	, periarthritis, Periarthritis
12476	, reactive gastropathy, Reactive gastropathy
12477	, crystal arthropathy, Crystal arthropathy
12478	, impaired self-care, Impaired self-care
12479	, impaired healing, Impaired healing
12480	, abnormal loss of weight, Abnormal loss of weight
12481	, weight abnormal, Weight abnormal
12482	, fingerprint loss, Fingerprint loss
12483	, weight loss poor, Weight loss poor
12484	, gingival graft, Gingival graft
12485	, weight control, Weight control
12486	, vital capacity abnormal, Vital capacity abnormal
12487	, forced vital capacity, Forced vital capacity
12488	, loss of control of legs, Loss of control of legs
12489	, apnoeic attack, Apnoeic attack
12490	, allergy to animal, Allergy to animal
12491	, milk allergy, Milk allergy
12492	, mite allergy, Mite allergy
12493	, seasonal allergy, Seasonal allergy
12494	, iodine allergy, Iodine allergy
12495	, allergy to metals, Allergy to metals
12496	, allergy to plants, Allergy to plants
12497	, postmastectomy lymphoedema syndrome, Postmastectomy lymphoedema syndrome
12498	, secondary immunodeficiency, Secondary immunodeficiency
12499	, cyanopsia, Cyanopsia
12500	, blister infected, Blister infected
12501	, exposure to contaminated air, Exposure to contaminated air
12502	, exposure to contaminated water, Exposure to contaminated water
12503	, exposure to contaminated device, Exposure to contaminated device
12504	, urticaria physical, Urticaria physical
12505	, pityriasis, Pityriasis
12506	, parapsoriasis, Parapsoriasis
12507	, prostatism, Prostatism
12508	, varicocele, Varicocele
12509	, clostridium difficile colitis, Clostridium difficile colitis
12510	, gastritis fungal, Gastritis fungal
12511	, fungal oesophagitis, Fungal oesophagitis
12512	, microscopic polyangiitis, Microscopic polyangiitis
12513	, necrotising ulcerative gingivostomatitis, Necrotising ulcerative gingivostomatitis
12514	, subglottic laryngitis, Subglottic laryngitis
12515	, porphyria acute, Porphyria acute
12516	, jaundice extrahepatic obstructive, Jaundice extrahepatic obstructive
12517	, congestive cardiomyopathy, Congestive cardiomyopathy
12518	, viral cardiomyopathy, Viral cardiomyopathy
12519	, arrhythmia neonatal, Arrhythmia neonatal
12520	, urethral valves, Urethral valves
12521	, chondrosarcoma, Chondrosarcoma
12522	, osteosarcoma, Osteosarcoma
12523	, megacolon, Megacolon
12524	, haemangioblastoma, Haemangioblastoma
12525	, perinephritis, Perinephritis
12526	, plasmacytoma, Plasmacytoma
12527	, thymoma, Thymoma
12528	, fibrosarcoma, Fibrosarcoma
12529	, neuroblastoma, Neuroblastoma
12530	, medulloblastoma, Medulloblastoma
12531	, chloroma, Chloroma
12532	, blast cells, Blast cells
12533	, blast cells present, Blast cells present
12534	, seminoma, Seminoma
12535	, choriocarcinoma, Choriocarcinoma
12536	, vipoma, Vipoma
12537	, glucagonoma, Glucagonoma
12538	, spermatocele, Spermatocele
12539	, oligospermia, Oligospermia
12540	, orchidopexy, Orchidopexy
12541	, vasectomy, Vasectomy
12542	, debridement, Debridement
12543	, arteriosclerosis, Arteriosclerosis
12544	, vasospasm, Vasospasm
12545	, thrombolysis, Thrombolysis
12546	, atherectomy, Atherectomy
12547	, gas gangrene, Gas gangrene
12548	, dry gangrene, Dry gangrene
12549	, thrombotic microangiopathy, Thrombotic microangiopathy
12550	, microangiopathy, Microangiopathy
12551	, cerebrovascular accident, Cerebrovascular accident
12552	, pericardiotomy, Pericardiotomy
12553	, sternotomy, Sternotomy
12554	, cardiopulmonary bypass, Cardiopulmonary bypass
12555	, gastric bypass, Gastric bypass
12556	, stent malfunction, Stent malfunction
12557	, tracheostomy malfunction, Tracheostomy malfunction
12558	, open angle glaucoma, Open angle glaucoma
12559	, device malfunction, Device malfunction
12560	, Device extrusion, device extrusion, extrusion of device
12561	, device failure, Device failure
12562	, dyskinesia oesophageal, Dyskinesia oesophageal
12563	, bronchial anastomosis, Bronchial anastomosis
12564	, alveolar proteinosis, Alveolar proteinosis
12565	, inflammation, Inflammation
12566	, intestinal congestion, Intestinal congestion
12567	, azoospermia, Azoospermia
12568	, salpingo-oophorectomy, Salpingo-oophorectomy
12569	, oophorectomy, Oophorectomy
12570	, omentectomy, Omentectomy
12571	, axillary lymphadenectomy, Axillary lymphadenectomy
12572	, mastectomy, Mastectomy
12573	, vulvectomy, Vulvectomy
12574	, deep brain stimulation, Deep brain stimulation
12575	, burn oesophageal, Burn oesophageal
12576	, oesophageal ph increased, Oesophageal pH increased
12577	, hypersplenism, Hypersplenism
12578	, ascites, Ascites
12579	, myelofibrosis, Myelofibrosis
12580	, polycythaemia, Polycythaemia
12581	, volvulus, Volvulus
12582	, Female reproductive neoplasm, female neoplasm reproductive,female reproductive neoplasm, female reproductive neoplasm
12583	, intestinal angioedema, Intestinal angioedema
12584	, post procedural drainage, Post procedural drainage
12585	, hypomenorrhoea, Hypomenorrhoea
12586	, haemosiderinuria, Haemosiderinuria
12587	, myelocytosis, Myelocytosis
12588	, anisochromia, Anisochromia
12589	, menopause, Menopause
12590	, basophilia, Basophilia
12591	, fasciotomy, Fasciotomy
12592	, escharotomy, Escharotomy
12593	, chondrectomy, Chondrectomy
12594	, chondroplasty, Chondroplasty
12595	, hysterosalpingo-oophorectomy, Hysterosalpingo-oophorectomy
12596	, electrocauterisation, Electrocauterisation
12597	, glossectomy, Glossectomy
12598	, thyroidectomy, Thyroidectomy
12599	, synovectomy, Synovectomy
12600	, cystostomy, Cystostomy
12601	, tracheostomy, Tracheostomy
12602	, hepatectomy, Hepatectomy
12603	, metatarsalgia, Metatarsalgia
12604	, cranioplasty, Cranioplasty
12605	, craniectomy, Craniectomy
12606	, craniotomy, Craniotomy
12607	, hypometabolism, Hypometabolism
12608	, hypoventilation neonatal, Hypoventilation neonatal
12609	, malnutrition, Malnutrition
12610	, ketoacidosis, Ketoacidosis
12611	, fasting, Fasting
12612	, impaired fasting glucose, Impaired fasting glucose
12613	, blood albumin, Blood albumin
12614	, albumin urine absent, Albumin urine absent
12615	, glucose urine present, Glucose urine present
12616	, bilirubin urine present, Bilirubin urine present
12617	, albumin urine present, Albumin urine present
12618	, nitrite urine present, Nitrite urine present
12619	, blood urine present, Blood urine present
12620	, myoglobin urine present, Myoglobin urine present
12621	, myoglobin blood present, Myoglobin blood present
12622	, eosinophils urine present, Eosinophils urine present
12623	, blood chromogranin a increased, Blood chromogranin A increased
12624	, hypercreatinaemia, Hypercreatinaemia
12625	, euglycaemic diabetic ketoacidosis, Euglycaemic diabetic ketoacidosis
12626	, diabetic complication, Diabetic complication
12627	, glomerulosclerosis, Glomerulosclerosis
12628	, intercapillary glomerulosclerosis, Intercapillary glomerulosclerosis
12629	, iga nephropathy, IgA nephropathy
12630	, sulphaemoglobinaemia, Sulphaemoglobinaemia
12631	, thirst, Thirst
12632	, stereotypy, Stereotypy
12633	, acromegaly, Acromegaly
12634	, hyperadrenocorticism, Hyperadrenocorticism
12635	, neuralgia, Neuralgia
12636	, infestation, Infestation
12637	, influenza like illness, Influenza like illness
12638	, sluggishness, Sluggishness
12639	, electrocardiogram t wave abnormal, Electrocardiogram T wave abnormal
12640	, agitation, Agitation
12641	, lack of satiety, Lack of satiety
12642	, autophobia, Autophobia
12643	, mysophobia, Mysophobia
12644	, acrophobia, Acrophobia
12645	, autoscopy, Autoscopy
12646	, paramnesia, Paramnesia
12647	, taciturnity, Taciturnity
12648	, hangnail, Hangnail
12649	, soliloquy, Soliloquy
12650	, flashback, Flashback
12651	, hangover, Hangover
12652	, lymphoid tissue hyperplasia, Lymphoid tissue hyperplasia
12653	, clubbing, Clubbing
12654	, illusion, Illusion
12655	, apnoea test, Apnoea test
12656	, laboratory test abnormal, Laboratory test abnormal
12657	, vascular test abnormal, Vascular test abnormal
12658	, coagulation test abnormal, Coagulation test abnormal
12659	, microbiology test abnormal, Microbiology test abnormal
12660	, antibody test abnormal, Antibody test abnormal
12661	, laboratory test, Laboratory test
12662	, electroencephalogram, Electroencephalogram
12663	, convulsions local, Convulsions local
12664	, nail picking, Nail picking
12665	, red ear syndrome, Red ear syndrome
12666	, red man syndrome, Red man syndrome
12667	, endocarditis, Endocarditis
12668	, meconium abnormal, Meconium abnormal
12669	, sputum purulent, Sputum purulent
12670	, sputum retention, Sputum retention
12671	, bronchoalveolar lavage abnormal, Bronchoalveolar lavage abnormal
12672	, vulvovaginal inflammation, Vulvovaginal inflammation
12673	, vulvovaginal injury, Vulvovaginal injury
12674	, hungry bone syndrome, Hungry bone syndrome
12675	, basal ganglia haemorrhage, Basal ganglia haemorrhage
12676	, basal ganglia stroke, Basal ganglia stroke
12677	, exposure via eye contact, Exposure via eye contact
12678	, corneal flap complication, Corneal flap complication
12679	, hyperaemia, Hyperaemia
12680	, meconium stain, Meconium stain
12681	, joint adhesion, Joint adhesion
12682	, angiopathy, Angiopathy
12683	, splint application, Splint application
12684	, floppy infant, Floppy infant
12685	, retinal laser coagulation, Retinal laser coagulation
12686	, hyperthermia, Hyperthermia
12687	, vasodilatation, Vasodilatation
12688	, hypersensitivity, Hypersensitivity
12689	, hyperhidrosis, Hyperhidrosis
12690	, vertebroplasty, Vertebroplasty
12691	, cytotoxic cardiomyopathy, Cytotoxic cardiomyopathy
12692	, decompression sickness, Decompression sickness
12693	, frostbite, Frostbite
12694	, concussion, Concussion
12695	, colon gangrene, Colon gangrene
12696	, porphyria, Porphyria
12697	, failure to thrive, Failure to thrive
12698	, weaning failure, Weaning failure
12699	, anaesthetic complication vascular, Anaesthetic complication vascular
12700	, dacryocanaliculitis, Dacryocanaliculitis
12701	, cholangiocarcinoma, Cholangiocarcinoma
12702	, poems syndrome, POEMS syndrome
12703	, thoracic outlet syndrome, Thoracic outlet syndrome
12704	, first bite syndrome, First bite syndrome
12705	, clinically isolated syndrome, Clinically isolated syndrome
12706	, crime, Crime
12707	, post lumbar puncture syndrome, Post lumbar puncture syndrome
12708	, agitation neonatal, Agitation neonatal
12709	, toxic shock syndrome streptococcal, Toxic shock syndrome streptococcal
12710	, hyper igd syndrome, Hyper IgD syndrome
12711	, meconium aspiration syndrome, Meconium aspiration syndrome
12712	, middle ear effusion, Middle ear effusion
12713	, epicondylitis, Epicondylitis
12714	, tympanic membrane scarring, Tympanic membrane scarring
12715	, tympanic membrane perforation, Tympanic membrane perforation
12716	, tympanic membrane hyperaemia, Tympanic membrane hyperaemia
12717	, cervix cautery, Cervix cautery
12718	, cervix dystocia, Cervix dystocia
12719	, shoulder dystocia, Shoulder dystocia
12720	, breast feeding, Breast feeding
12721	, maternal exposure during breast feeding, Maternal exposure during breast feeding
12722	, parasite allergy, Parasite allergy
12723	, device allergy, Device allergy
12724	, anembryonic gestation, Anembryonic gestation
12725	, pregnancy test, Pregnancy test
12726	, Maternal exposure during pregnancy, Maternal exposure before pregnancy, maternal exposure during pregnancy, maternal exposure before pregnancy
12727	, exposure during pregnancy, Exposure during pregnancy
12728	, miscarriage of partner, Miscarriage of partner
